song,genre,genreLabel,performer,performerLabel,publication_date,language_of_work_or_name,language_of_work_or_nameLabel,songLabel
http://www.wikidata.org/entity/Q129158,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q41076,Mariah Carey,2005-03-22T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,We Belong Together
http://www.wikidata.org/entity/Q130826,http://www.wikidata.org/entity/Q11700058,folk-pop,http://www.wikidata.org/entity/Q11975,Britney Spears,2011-09-30T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Criminal
http://www.wikidata.org/entity/Q147734,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q36153,Beyoncé,2009-01-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Halo
http://www.wikidata.org/entity/Q147734,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q36153,Beyoncé,2009-01-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Halo
http://www.wikidata.org/entity/Q147734,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q36153,Beyoncé,2009-01-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Halo
http://www.wikidata.org/entity/Q149047,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q36153,Beyoncé,2003-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,"Me, Myself and I"
http://www.wikidata.org/entity/Q153044,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2010-04-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Alejandro
http://www.wikidata.org/entity/Q153044,http://www.wikidata.org/entity/Q316930,dance music,http://www.wikidata.org/entity/Q19848,Lady Gaga,2010-04-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Alejandro
http://www.wikidata.org/entity/Q153044,http://www.wikidata.org/entity/Q517415,Europop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2010-04-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Alejandro
http://www.wikidata.org/entity/Q153064,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-10-25T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Bad Romance
http://www.wikidata.org/entity/Q153064,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-10-25T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Bad Romance
http://www.wikidata.org/entity/Q155512,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q42493,Katy Perry,2008-05-06T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,I Kissed a Girl
http://www.wikidata.org/entity/Q155586,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q6096,Snoop Dogg,2010-05-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,California Gurls
http://www.wikidata.org/entity/Q155586,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q42493,Katy Perry,2010-05-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,California Gurls
http://www.wikidata.org/entity/Q158585,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q11975,Britney Spears,1999-09-20T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,(You Drive Me) Crazy
