country,population,gdp,countryLabel,continent,continentLabel,lon,lat,coordinate_location,image
http://www.wikidata.org/entity/Q1049,40533330,34229513775,Sudan,http://www.wikidata.org/entity/Q15,Africa,32,15,"32,15",http://commons.wikimedia.org/wiki/Special:FilePath/Khartoum.jpg
http://www.wikidata.org/entity/Q36,38382576,679441900611,Poland,http://www.wikidata.org/entity/Q46,Europe,19,52,"19,52",http://commons.wikimedia.org/wiki/Special:FilePath/Warsaw%20Old%20Town%20Market%20Square%2010.JPG
http://www.wikidata.org/entity/Q796,38274618,207691599310,Iraq,http://www.wikidata.org/entity/Q48,Asia,43,33,"43,33",http://commons.wikimedia.org/wiki/Special:FilePath/Shar%20Park%20%286556994591%29.jpg
http://www.wikidata.org/entity/Q1028,37076584,134181587770,Morocco,http://www.wikidata.org/entity/Q15,Africa,-6,32,"-6,32",http://commons.wikimedia.org/wiki/Special:FilePath/Ary-neffakh-coirneus.png
http://www.wikidata.org/entity/Q16,36991981,2206764000000,Canada,http://www.wikidata.org/entity/Q49,North America,-109,56,"-109,56",http://commons.wikimedia.org/wiki/Special:FilePath/Canada%20BMNG.png
http://www.wikidata.org/entity/Q851,33000000,868585871465,Saudi Arabia,http://www.wikidata.org/entity/Q48,Asia,44.116667,23.716667,"44.116667,23.716667",http://commons.wikimedia.org/wiki/Special:FilePath/Kingdom%20Tower%20at%20night.JPG
http://www.wikidata.org/entity/Q916,32866270,65685435100,Angola,http://www.wikidata.org/entity/Q15,Africa,17.35,-12.35,"17.35,-12.35",http://commons.wikimedia.org/wiki/Special:FilePath/LocationAngola.svg
http://www.wikidata.org/entity/Q117,32833031,72838798788,Ghana,http://www.wikidata.org/entity/Q15,Africa,-1.08,8.03,"-1.08,8.03",http://commons.wikimedia.org/wiki/Special:FilePath/Beach%20with%20palms%20Ghana.jpg
http://www.wikidata.org/entity/Q833,32447385,372981073018,Malaysia,http://www.wikidata.org/entity/Q48,Asia,102.3143617,3.7805111,"102.314361666,3.7805111",http://commons.wikimedia.org/wiki/Special:FilePath/View%20on%20Petronas%20Towers.JPG
http://www.wikidata.org/entity/Q1029,29668834,15776757420,Mozambique,http://www.wikidata.org/entity/Q15,Africa,35,-19,"35,-19",http://commons.wikimedia.org/wiki/Special:FilePath/Chicamba%20Dam.jpg
http://www.wikidata.org/entity/Q419,29381884,223717791483,Peru,http://www.wikidata.org/entity/Q18,South America,-76,-9.4,"-76,-9.4",http://commons.wikimedia.org/wiki/Special:FilePath/Cuarentena%20Lima%20%2819%20de%20marzo%202%29.jpg
http://www.wikidata.org/entity/Q837,29164578,36924841430,Nepal,http://www.wikidata.org/entity/Q48,Asia,84,28,"84,28",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Nepal%20in%20October%202002.jpg
http://www.wikidata.org/entity/Q408,26473055,1675418665067,Australia,http://www.wikidata.org/entity/Q55643,Oceania,133,-25,"133,-25",http://commons.wikimedia.org/wiki/Special:FilePath/Australia%20satellite%20plane.jpg
http://www.wikidata.org/entity/Q1019,25570895,14554754115,Madagascar,http://www.wikidata.org/entity/Q15,Africa,47,-20,"47,-20",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Madagascar%20in%20September%202003.jpg
http://www.wikidata.org/entity/Q1008,24294750,70018715017,Ivory Coast,http://www.wikidata.org/entity/Q15,Africa,-6,8,"-6,8",http://commons.wikimedia.org/wiki/Special:FilePath/Abidjan2.jpg
http://www.wikidata.org/entity/Q1009,24053727,44341646509,Cameroon,http://www.wikidata.org/entity/Q15,Africa,12.65,5.133333333,"12.65,5.133333333",http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20r%C3%A9unification%20Buea.jpg
http://www.wikidata.org/entity/Q854,21444000,74403578363,Sri Lanka,http://www.wikidata.org/entity/Q48,Asia,81,7,"81,7",http://commons.wikimedia.org/wiki/Special:FilePath/Topography%20Sri%20Lanka.jpg
http://www.wikidata.org/entity/Q965,20488000,18884619613,Burkina Faso,http://www.wikidata.org/entity/Q15,Africa,-2.066667,12.266667,"-2.066667,12.266667",http://commons.wikimedia.org/wiki/Special:FilePath/Burkina%20sat.png
http://www.wikidata.org/entity/Q298,19458000,301025249438,Chile,http://www.wikidata.org/entity/Q18,South America,-71,-33,"-71,-33",http://commons.wikimedia.org/wiki/Special:FilePath/Duna%20Mayor%2C%20Valle%20de%20la%20Luna%2C%20San%20Pedro%20de%20Atacama%2C%20Chile%2C%202016-02-01%2C%20DD%20164.JPG
http://www.wikidata.org/entity/Q218,19053815,285404683025,Romania,http://www.wikidata.org/entity/Q46,Europe,25,46,"25,46",http://commons.wikimedia.org/wiki/Special:FilePath/Apuseni.%20%2841412826664%29.jpg
http://www.wikidata.org/entity/Q1020,18622104,12602334124,Malawi,http://www.wikidata.org/entity/Q15,Africa,34,-13,"34,-13",http://commons.wikimedia.org/wiki/Special:FilePath/Zomba%20Plateau%20banner.jpg
http://www.wikidata.org/entity/Q774,17263239,86053079767,Guatemala,http://www.wikidata.org/entity/Q49,North America,-90.25,15.5,"-90.25,15.5",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Guatemala%20in%20April%202002.jpg
http://www.wikidata.org/entity/Q736,16938986,106165866000,Ecuador,http://www.wikidata.org/entity/Q18,South America,-78,-1,"-78,-1",http://commons.wikimedia.org/wiki/Special:FilePath/Ecuador%20Blue%20Marble.png
http://www.wikidata.org/entity/Q1041,16876720,27569136728,Senegal,http://www.wikidata.org/entity/Q15,Africa,-14.283333,14.366667,"-14.283333,14.366667",http://commons.wikimedia.org/wiki/Special:FilePath/20130513-DSC%208564%20%288750149526%29.jpg
http://www.wikidata.org/entity/Q424,16005373,26961061152,Cambodia,http://www.wikidata.org/entity/Q48,Asia,105,12.5,"105,12.5",http://commons.wikimedia.org/wiki/Special:FilePath/Angkor%20Wat%20W-Seite.jpg
